Deal ID,Property ID,Status,Type,Market,Date,Distance,Property Name,Address,City,State,Country,Postal Code,sf,Yr Built,Yr Renov,# Bldgs,# Floors,Land Area (acres),Occupancy,Prop/Deal,Price ($),Currency,$/sf,Price Qualifier,Partial Interest,Partial Inv Vol ($),Cap Rate,Cap Rate Qualifier,Buyer,Buyer's Broker,Seller,Seller's Broker,Lender,Buildable Area in (sf),$/Buildable sf,Comments or Notes,Latitude,Longitude,County,Submarket,MSA,CBSA,APN,Deed,Beds
1894261,1521701,Sale,Office,Manhattan,8/1/16,,10 Hudson Yards,10 Hudson Yards,New York,NY,United States,10001,1813465,2016,,1,52,1.84,0.93,1 of 1,2150000000,$,1186,apprsl,Minority,946000000,0.037,in place,Allianz RE of America,,"Oxford Properties Group, JP Morgan Chase, Kuwait Investment Authority, Related Cos",Eastdil Secured,"Deutsche Bank ($88m approx), GS 2016-GS3 ($88m approx), CD 2016-CD1 ($88m approx), HY 2016-10HY ($88m approx), CD 2016-CD2 ($88m approx), JPMDB 2016-C4 ($88m approx), Goldman Sachs ($88m approx)",,,"93% occ.;Office - CBD property; street retail; Tenants: Coach Inc, L’Oreal, BCG Woodworks, SAP, Intersection; leasehold; partial interest (44%); seller retained interest; Appraised at $2.15b;",40.7526739,-74.00173959,,Midtown West,5600,35620,"00702-0010, 07020010",0000300345,
1912064,1659622,Sale,Office,Manhattan,7/27/16,,1095 Sixth Avenue,1095 Sixth Ave,New York,NY,United States,10036,1116129,1970,2008,1,41,1.36,,1 of 1,2353000000,$,2108,confm'd,Minority,1152970000,0.041,in place,HKMA,,"Ivanhoe Cambridge, Callahan Cap Prtnrs",Eastdil Secured,,,,"Office - CBD property; Tenants: METLIFE, US Bank, Booz & Co; prior sale: Jan-15 ($2,200.0m); condo; partial interest (49%); seller retained interest;",40.7546714,-73.9848031,,Midtown West,5600,35620,"09941001, 09941002, 09941009, 09941011, 09940033 (retired)",0000266490,
1873956,1519126,Sale,Office,Manhattan,6/15/16,,One Battery Park Plaza,24 State St,New York,NY,United States,10004,885645,1970,,1,36,0.9179293,1,1 of 1,365000000,$,412,approx,Minority,178850000,0.041,quoted,Allianz RE of America,,Rudin Mgmt Co,,State Farm Insurance ($110m approx),,,"100% occ.;Office - CBD property; Tenants: Hughes Hubbard, Seward & Kissel LLP, Harris King, Mound Cotton, Meridian Capital Management Inc; prior sale: Jan-12 ($210.0m); partial interest (49%); buyer assumed mtg; seller retained interest;",40.7033811,-74.0139189,,Downtown,5600,35620,"000090029, 00090029, 00009-0029",,
1877358,1631952,Sale,Office,Manhattan,6/15/16,,1140 Avenue of the Americas,1140 Ave of the Americas,New York,NY,United States,10036,247183,1926,2015,1,22,0.2152204,0.91,1 of 1,179625000,$,727,confm'd,,179625000,0.0494,next yr,American Realty Cap NYC,,Blackstone,HFF,"JPMCC 2016-JP4 ($30m approx), WF 2016-LC24 ($30m approx), WF 2016-C37 ($30m approx)",,,"91% occ.;Office - CBD property; Tenants: City National Bank, Waterfall Asset Management, Office Space Solutions, Inc, PSL Group America Limited, Trilogy Global Advisors; prior sale: Apr-11 ($98.3m); leasehold;",40.7561507,-73.9827042,,Midtown West,5600,35620,01260-0001,000211459,
1299829,1479568,Sale,Office,Manhattan,6/15/16,,News Corp Building,1211 Sixth Ave,New York,NY,United States,10036,1937895,1973,1995,1,45,2.0202,0.93,1 of 1,1750000000,$,903,confm'd,Minority,857500000,0.0437,quoted,"Ivanhoe Cambridge, Callahan Cap Prtnrs",,Beacon Capital Partners,Eastdil Secured,"JPMCC 2015-1211 ($1,035m approx)",,,"93% occ.;Office - CBD property; Tenants: News Corporation, Axis Reinsurance, Ropes & Gray, RBC Wealth Management, Nordea Bank; prior sale: Oct-13 ($1,750.0m); partial interest (49%); buyer assumed mtg; partner buyout;",40.7586101,-73.9819277,,Midtown West,5600,35620,10000029,,
1843199,1505853,Sale,Office,Manhattan,6/10/16,,693 Fifth Avenue,693 5th Ave,New York,NY,United States,10022,96514,1993,2015,1,20,0.1291322,0.57,1 of 1,525058737.5,$,5440,confm'd,,525058737.5,0.03031993,unwrtn,Fimalac,Savitt Partners,Thor Equities,CBRE,"JPMCC 2016-JP2 ($42m approx), JPMDB 2016-C4 ($42m approx), JP Morgan ($42m approx), JPMCC 2016-JP3 ($42m approx), DBJPM 2016-C3 ($42m approx)",,,"57% occ.;Office - CBD property; street retail (44,500 sf); Tenants: Valentino, JDS Development Group, Pierson Capital, Carpenters Workshop Gallery, Louis Licari; prior sale: Jul-10 ($142.0m);",40.7611668,-73.974816,,Midtown East,5600,35620,12900003,0000209902  ; 0000209901          ; 0000209900,
1804588,1485849,Sale,Office,Manhattan,5/27/16,,7 W 34th Street,7 W 34th St,New York,NY,United States,10001,477000,1910,2015,1,12,0.78278,1,1 of 1,561000000,$,1176,confm'd,Minority,263670000,0.048,unwrtn,"Korea Post, CBRE Global Investors",,Vornado,CBRE,MetLife ($300m approx),,,"100% occ.;Office - CBD property; street retail (7,000 sf); Tenants: single tenant -- Amazon; prior sale: Oct-00 ($128.0m); partial interest (47%); seller retained interest;",40.7492071,-73.9851736,,Midtown West,5600,35620,08360026,,
1803733,1484769,Sale,Office,Manhattan,5/20/16,,One New York Plaza,1 Water St,New York,NY,United States,10004,2545000,1970,2014,1,50,2.556979,0.99,1 of 1,1428571429,$,561,approx,Minority,700000000.2,0.04,next yr,China Investment Corp,,Brookfield Prop Prtnrs,CBRE,,,,"99% occ.;Office - CBD/condo mapped property; street retail (38,000 sf); Tenants: Morgan Stanley, Fried, Frank, Harris; prior sale: Oct-06 ; partial interest (49%); seller retained interest; Brookfield will also continue to handle leasing and management at the building.;",40.7021565,-74.0121223,,Downtown,5600,35620,"00004-7501, 00047501, 00041001, 00041002, 00041003, 00041004, 00041005, 00041007, 00041008, 00041009, 00041010, 00041011, 00041012, 00041013, 00041014, 00041015, 00041016, 00041017, 00041018, 00041019, 00041020, 00041021, 00041022, 00041023, 00041024, 00041025, 00041026, 00041027, 00041028, 00041029, 00041030, 00041031, 00041032, 00041033, 00041034, 00041035, 00041036, 00041037, 00041038, 00041039, 00041040, 00041041, 00041042, 00041043, 00041044, 00041045, 00041046, 00041047, 00041048, 00041049, 00041050, 00041051, 00041052",,
1800223,1480154,Sale,Office,Manhattan,5/20/16,,PaineWebber Building,1285 6th Ave,New York,NY,United States,10019,1749000,1960,,1,39,1.84419,1,1 of 1,1649800000,$,943,confm'd,,1649800000,0.047,in place,"RXR Realty, China Life, David Werner RE, Northstar/RXR NY",Eastdil Secured,"JP Morgan, AXA",Eastdil Secured,"Morgan Stanley ($1,025m approx), AIG ($1,025m approx)",,,"100% occ.;Office - CBD property; street retail (25,000 sf); Tenants: UBS PaineWebber (HQ), BBDO Worldwide, Paul, Weiss, Rifkin, Wharton & Garrison; prior sale: Nov-12 ($804.0m);",40.7611965,-73.9805722,,Midtown West,5600,35620,10040029,000181262; 000181261; 000181260,
1888285,1642019,Sale,Office,Manhattan,4/30/16,,55 East 59th Street (Office Condo),55 E 59th St,New York,NY,United States,10022,12342,1985,,1,24,,1,1 of 1,13899960,$,1126,confm'd,,13899960,0.041367778,unwrtn,Dmitry Volkov,NGKF,Rodrigo Moscoso,NGKF,CD 2016-CD2 ($6m approx),,,"100% occ.;Office - CBD property; Tenants: Farient Advisors, LLC, Mark Bruce International, Doft & Co., Inc; prior sale: Sep-11; condo ;",40.7635651,-73.9707505,,Upper East Side,5600,35620,"13741016, 13741035, 13741036, 01374-7501",0000155953,
1802219,1482901,Sale,Office,Manhattan,4/26/16,,125 Broad Street (Office Condo),125 Broad St,New York,NY,United States,10004,524500,1970,,1,40,1.240197,0.99,1 of 1,202000000,$,385,confm'd,,202000000,0.044,in place,Sullivan & Cromwell,,Mack-Cali,Eastdil Secured,Wells Fargo ($152m approx),,,"99% occ.;Office - CBD property; Tenants: Citigroup, Ark Asset Management Co Inc, Oppenheimer & Co; prior sale: Jun-07 ($273.5m); bought for occupancy; condo;",40.7023357,-74.0105156,,Downtown,5600,35620,"00051001, 00051002, 00051003, 00051004, 00051005, 00051007, 00051006, 00057501, 00005-7501",000157581; 000157580; 0000157590          ; 0000157591,
1866989,1508097,Sale,Office,Manhattan,3/17/16,,Nyack College NYC,17 Battery Pl N,New York,NY,United States,10004,166385,1972,2016,2,22,1.48377,1,1 of 1,49211151.7,$,296,approx,,49211151.7,0.045232036,unwrtn,Nyack College,,Moinian Group,,CITI 2016-P3 ($55m approx),,,100% occ.;Office - CBD property; Tenants: single tenant -- Nyack College; bought for occupancy; condo; exercise pre-agreed purchase option;,40.7051613,-74.0159706,,Downtown,5600,35620,"00015-7501, 00151004",000108452; 0000108455,
1291623,1570523,Sale,Office,Manhattan,2/16/16,,10 E 34th Street,10 E 34th St,New York,NY,United States,10016,55000,1912,,1,10,0.1192378,,1 of 1,51700000,$,940,confm'd,,51700000,0.025,quoted,Caerus Group,,"The Cohen Family, Brause Realty Inc, Walter & Samuels",Cushman & Wakefield,,,,"Office - CBD property; street retail (5,000 sf); Leases for 61% of the property’s tenants expire at the beginning of 2016.;",40.7479126,-73.9840058,,Midtown East,5600,35620,08630075,000068555; 0000068555,
1807788,1492975,Sale,Office,Manhattan,2/1/16,,430 W 15th Street,430 W 15th St,New York,NY,United States,10014,98087,1950,2015,1,8,0.296281,1,1 of 1,135000000,$,1376,confm'd,,135000000,0.048,in place,TIAA-CREF,,"Rockpoint Group, Atlas Capital Group",Eastdil Secured,,,,100% occ.;Office - CBD property; Tenants: single tenant -- Palantir Technologies; prior sale: Apr-14; leasehold; to be Commercial- Mixed;,40.742091,-74.006498,,Midtown South,5600,35620,712-46,,
1213137,1186049,Sale,Office,Manhattan,2/1/16,,Lipstick Building (Land Only),885 3rd Ave,New York,NY,United States,10022,,1986,2006,1,34,0.59986,,1 of 1,453000000,$,,confm'd,,453000000,0.038,quoted,"Shanghai Municipal, Ceruzzi Properties",,SL Green,HFF,US Bancorp ($268m approx),,,Office - CBD property; prior sale: Dec-10 ($352.0m); leased fee / land only;,40.7579145,-73.9688358,,Midtown East,5600,35620,13270001,0000057635,
1808814,1480156,Sale,Office,Manhattan,1/27/16,,787 Seventh Avenue,787 7th Ave,New York,NY,United States,10019,1706007,1985,2015,1,51,1.844192,0.98,1 of 1,1941450000,$,1138,confm'd,,1941450000,0.046,in place,"CalPERS, CommonWealth Partners",,AXA,Eastdil Secured,"COMM 2016-787S ($640m approx), JPMDB 2016-C2 ($640m approx), DBJPM 2016-C1 ($640m approx)",,,"98% occ.;Office - CBD property; street retail; Tenants: Bank of The West, Sidley Austin LLP, Willkie Farr & Gallagher LLP, Stifel Nicolaus & Company Incorporated, UBS AG, New York Branch;",40.7618356,-73.9821805,,Midtown West,5600,35620,"01004-0020, 10040020",000041268,
1805655,1487298,Sale,Office,Manhattan,10/26/15,,645 Madison,645 Madison Ave,New York,NY,United States,10022,157027,1971,2007,1,22,0.2066116,0.73,1 of 1,76000000,$,484,confm'd,,76000000,0.081,quoted,"Nightingale Properties, Friedland Properties",HFF,TF Cornerstone,Eastdil Secured,East West Bank ($50m approx),,,"73% occ.;Office - CBD property; street retail (36,170 sf); Tenants: Ann Taylor, Basswood Partners, Capital Dynamics, CBM Capital, Marble Arch Investments; prior sale: Jun-00 ($49.5m); bought for renovation; leasehold;",40.7639335,-73.9708207,,Upper East Side,5600,35620,"13740049, 1374004900018000000018A",0000394669; 0000394670; 0000394671,
1270493,1472789,Sale,Office,Manhattan,8/27/15,,Grolier Building,575 Lexington Ave,New York,NY,United States,10022,743240,1958,2014,1,34,0.77479,0.82,1 of 1,510000000,$,686,confm'd,Majority,357000000,0.035,quoted,"NTT Urban Development, Angelo, Gordon, George Comfort & Sons",,"New York Life, Prudential RE Investors",Eastdil Secured,Wells Fargo ($300m approx),,,"82% occ.;Office - CBD property; street retail (12,000 sf); Tenants: Weill Cornell Medical College, Boies Schiller, Palestrini Post Production, Janney Montgomery, New York Sports Club; prior sale: Oct-12 ($360.0m); partial interest (70%);",40.7572872,-73.9712797,,Midtown East,5600,35620,13060023,0000327085          ; 0000327088,
1266788,1466769,Sale,Office,Manhattan,8/18/15,,11 Madison Avenue,11 Madison Ave,New York,NY,United States,10010,2285043,1932,2015,1,29,1.926928,0.98,1 of 1,2600000000,$,1138,confm'd,,2600000000,0.046,quoted,SL Green,,"CIM Group, Sapir Organization",CBRE,"COMM 2015-CCRE27 ($25m approx), Deutsche Bank ($25m approx), WF 2015-C31 ($25m approx), MSBAM 2015-C26 ($25m approx), COMM 2015-LC23 ($25m approx), COMM 2015-CCRE26 ($25m approx), MAD 2015-11MD ($25m approx), WF 2015-NXS3 ($25m approx)",,,"98% occ.;Office - CBD property; street retail; Tenants: Credit Suisse, Sony, Yelp, WME, Young & Rubicam Inc; prior sale: Dec-10 ($957.6m); bought for renovation; leasehold; Credit Suisse & Sony make up 80.7%; estimated development cost: $300.0 1031 exch;",40.7416592,-73.9868513,,Midtown South,5600,35620,"0306008541003, 0306008541004, 0306008541005, 0306008541006, 0306008541007, 08540000, 08541001, 08541002, 08541003, 08541004, 08541005, 0306008541029, 08541032, 08541031, 08541010, 0306008541023, 08541034, 0306008541025, 08541036, 08541012, 08541035, 08541008, 0306008541027, 08541014, 0306008541022, 08541033, 08541009, 08541015, 0306008541016, 08541011, 08541013, 08541006, 08541007, 08541016, 08541017, 08541018, 08541019, 08541020, 08541021, 08541022, 08541023, 08541024, 08541027, 0306008541018, 0306008541028, 0306008541020, 0306008541024, 0306008541026, 0306008541017, 0306008541019, 0306008541021, 08541030, 08541025, 08541026, 08541028, 08541029, 08541001",0000304906          ; 0000304908; 0000304909 ; 0000304910; 0000304907; 0000304917,
1266845,1466843,Sale,Office,Manhattan,8/5/15,,PennCom Plaza,132 W 31st St,New York,NY,United States,10001,423000,1925,2013,1,18,,,1 of 1,265000000,$,626,confm'd,,265000000,0.045,in place,Vanbarton Group,,Savanna,Eastdil Secured,,,,"Office - CBD property; Tenants: Northern Leasing, 24/7 Real Media, Facts on File; prior sale: Sep-11 ($120.0m); leasehold; Buyer has option to purchase land in 2018 for $30 mil-$50 mil;",40.7483005,-73.990655,,Midtown West,5600,35620,268918800000010030000000,,
1268865,1470483,Sale,Office,Manhattan,8/4/15,,NY Times Tower (Office Condo),217-247 W 43rd St,New York,NY,United States,10036,481110,1912,2012,1,16,1.46,0.98,1 of 1,516000000,$,1073,confm'd,,516000000,0.048,in place,Columbia Property Trust,,Blackstone,Eastdil Secured,,,,"98% occ.;Office - CBD property; Tenants: Yahoo, Snapchat Inc, Collective, MongoDB; prior sale: Jul-11 ($160.0m); condo; 715,000 sqft office building was redeveloped and split into retail condo (1F-3F) and office condo (4F-16F, parts of 1st and 4th floors as well);",40.7571303,-73.9871429,,Midtown West,5600,35620,"10151002, 01015-0029, 10157501",0000285382,
1242575,1462132,Sale,Office,Manhattan,7/13/15,,100 Wall Street,100 Wall St,New York,NY,United States,10005,473545,1969,2014,1,29,1.17998,0.97,1 of 1,270000000,$,570,confm'd,,270000000,0.034,quoted,Cornerstone RE Advisers,,Savanna,Eastdil Secured,New York Life ($138m approx),,,"97% occ.;Office - CBD property; Tenants: Harris Beach, USBank, Lester Schwab Katz & Dwyer, NYSE Group, Bank of Taiwan; prior sale: May-07 ($217.8m);",40.7052203,-74.0068009,,Downtown,5600,35620,"0038-000, 0038-017, 00380001",0000278987,
1242330,1461631,Sale,Office,Manhattan,6/30/15,,99 Hudson St (14F-16F),99 Hudson St,New York,NY,United States,10013,34700,1930,2014,1,17,,1,1 of 1,48000000,$,1383,confm'd,,48000000,0.044,quoted,"Swiss RE, LaSalle",,JMC Holdings,Eastdil Secured,,,,"100% occ.;Office - CBD property; Tenants: New York City Regional Center, Unilever; prior sale: Oct-12 ($18.5m); condo;",40.7190816,-74.0090777,,Downtown,5600,35620,"01811126, 01811129, 01811125, 01811128, 01810000",0000264209,
1266842,1462021,Sale,Office,Manhattan,5/29/15,,1375 Broadway,1375 Broadway,New York,NY,United States,10018,513000,1927,2010,1,27,0.467539,0.97,1 of 1,310000000,$,604,confm'd,,310000000,0.038,quoted,Westbrook Partners,Eastdil Secured,Savanna,"Savills Studley, Eastdil Secured",Credit Agricole ($180m approx),,,"97% occ.;Office - CBD property; street retail; Tenants: Micro Office, Anchin Block & Anchin LLP, Meryl Diamond, Manhattist Inc, City Home Companion; prior sale: Dec-10 ($135.0m);",40.7525801,-73.9878977,,Midtown West,5600,35620,"008130016, 08130016",0000195940          ; 0000195937,
1087393,1119045,Sale,Office,Manhattan,5/13/15,,Merrill Lynch Financial Center (Office Condo),717 5th Ave,New York,NY,United States,10022,366285,1958,,1,26,,0.96,1 of 1,414000000,$,1130,confm'd,,414000000,0.037,quoted,Anbang Insurance Group,Eastdil Secured,Blackstone,CBRE,Bank of China ($260m approx),,,"96% occ.;Office - CBD property; Tenants: Merrill Lynch, International Value Advisors, Andrew Farkas' Island Capital, JC Flowers & Co, Harry Winston; prior sale: Feb-07; condo ;",40.7617488,-73.9740315,,Midtown East,5600,35620,"12911303, 12911301, 12911302, 01291-7501",0000171146 ; 0000171148,
1282064,1560955,Sale,Office,Manhattan,5/7/15,,DKNY HQ,240 W 40th St,New York,NY,United States,10018,163115,1923,2004,1,13,0.2654729,1,1 of 1,85000000,$,521,approx,,85000000,0.047,past yr,"Olmstead Properties, Jonathan Rose Companies",JLL,"DTZ I&AM, AEW Global",JLL,Aareal Bank ($60m approx),,,"100% occ.;Office - CBD property; street retail; Tenants: DKNY (HQ), BOI Noodle, TAS Enterprises, Guy & Gallard, Dunkin Donuts; prior sale: Dec-13 ($63.0m);",40.755242,-73.989625,,Midtown West,5600,35620,"007890062, 07890062",0000164662,
1216009,1471784,Sale,Office,Manhattan,4/13/15,,One Financial Square (Land Only),32 Old Slip,New York,NY,United States,10005,,1987,1987,1,36,1.01,1,1 of 1,197500000,$,,confm'd,,197500000,0.037777778,unwrtn,"Melohn Properties, David Werner RE",,Beacon Capital Partners,CBRE,"MS 2015-MS1 ($66m approx), MSBAM 2015-C24 ($66m approx), MSBAM 2015-C23 ($66m approx)",,,"100% occ.;Office - CBD property; Tenants: AIG, Daiwa Capital Markets America, Crystal & Company, GSA - Dept of Education; leased fee / land only;",40.7037373,-74.0077157,,Downtown,5600,35620,00350001,,
1278603,1557867,Sale,Office,Manhattan,4/6/15,,525 Park Avenue (Units N D S & LL),525 Park Ave,New York,NY,United States,10065,11958,1915,,,15,,1,1 of 1,25800000,$,2158,approx,,25800000,0.0447925,unwrtn,SRI (NY/TX),,Lido Realty LLC,,COMM 2015-CCRE23 ($18m approx),,,"100% occ.;Office - CBD/medical property; Tenants: single tenant -- Park Avenue Radiologists, P.C.; prior sale: Oct-13 ($21.8m); condo;",40.7638308,-73.9686741,,Upper East Side,5600,35620,"13951249, 13951250, 13951252, 13951251, 13951254, 00000500139501244, 0509013951254, 1395124900525000000000N, 1395125000525000000000D, 1395125100525000000000S, 13950000",0000129347,
1215183,1188729,Sale,Office,Manhattan,3/9/15,,757 Third Avenue,757 Third Ave,New York,NY,United States,10017,459002,1962,2013,1,27,0.5988292,0.98,1 of 1,358750000,$,782,confm'd,,358750000,0.047,quoted,"Bentall Kennedy, MEPT",,RFR Realty,Eastdil Secured,New York Life ($205m approx),,,"98% occ.;Office - CBD property; street retail; Tenants: Grant Thorton LLP, Association of Magazine Media, Berkley Insurance Company, Laura Pomerantz Real Estate, CVS; prior sale: Dec-99 ($102.0m);",40.7539043,-73.9714451,,Midtown East,5600,35620,"013210001, 13210001",0000144508          ; 0000144511,
1190984,1178164,Sale,Office,Manhattan,1/15/15,,Three Bryant Park (Office Condo),1095 Sixth Ave,New York,NY,United States,10036,1166129,1970,2008,2,40,1.36019,0.95,1 of 1,2200000000,$,1887,confm'd,,2200000000,0.044,in place,"Callahan Cap Prtnrs, Ivanhoe Cambridge",,Blackstone,Eastdil Secured,"COMM 2015-3BP ($1,125m approx)",,,"95% occ.;Office - CBD property; street retail (55,913 sf); Tenants: MetLife, Dechert, Standard Charted Bank, Instinet; prior sale: Feb-07 ; condo ; Verizon owns 6F-12F (approx 200,000 sqft); Retail: Jewel Box (5,030 sqft) & The Cubes added (50,883 sqft);",40.7546714,-73.9848031,,Midtown West,5600,35620,"09941001, 09941002, 09941009, 09941011, 09940033 (retired)",000029686,
